logFreq,KC,geno,phenoBinary,phenoLength
0.0,42.0,FF+[F+F],1111101000001011101000001011101000001011101000000000000000000000,64
0.0,60.0,FF+[F-F],1111100100001011100100001011100111110000100100000000000000000000,64
0.0,46.5069933284,FF+[FFF],1111101111000000101110111100000010111011110000001011101111000000101110111100000000000000000000000000,100
0.698970004336,42.0,FF+[FF],1111101100001011101100001011101100001011101100000000000000000000,64
1.3979400086700002,31.019550008699998,FF+[F],111110001011100010111000000000000000,36
0.0,54.0,FF+[F]+F,1111100010111110001010111000100000001011100010000000000000000000,64
0.301029995664,60.0,FF+[F]-F,1111101111110010110010111011111100000000101100000000000000000000,64
1.86332286012,31.019550008699998,FF-F,111101111101011101000000000000000000,36
1.20411998266,42.0,FF-F+F,1111011011110110011101101011011000000000000000000000000000000000,64
0.0,46.5069933284,FF-F+F+F,1111011010111101101001110110101011011010101101101000000000000000000000000000000000000000000000000000,100
0.0,53.1508495182,FF-F+F-F,1111011001111101100101110110011011011001011101100100000000000000000000000000000000000000000000000000,100
0.47712125471999994,46.5069933284,FF-F+FF,1111011011111101101101110110111011011011111101101100000000000000000000000000000000000000000000000000,100
0.0,64.529325013,FF-F+FFF,111101101111111101101111011101101111101101101111111101101111111101101111000000000000000000000000000000000000000000000000000000000000000000000000,144
0.0,48.0,FF-F+[F],1111011000101101101111000110001011011000000000000000000000000000,64
1.20411998266,36.0,FF-F-F,1111010111110101011101010111010100000000000000000000000000000000,64
0.0,53.1508495182,FF-F-F+F,1111010110111101011001110101100111010110101101011000000000000000000000000000000000000000000000000000,100
0.0,39.8631371386,FF-F-F-F,1111010101111101010101110101010111010101011101010100000000000000000000000000000000000000000000000000,100
0.47712125471999994,53.1508495182,FF-F-FF,1111010111111101011101110101110111010111111101011100000000000000000000000000000000000000000000000000,100
0.0,57.35940001149999,FF-F-FFF,111101011111111101011111011101011111011101011111111101011111111101011111000000000000000000000000000000000000000000000000000000000000000000000000,144
0.0,36.0,FF-F-[F],1111010100011101010001110101000111010100000000000000000000000000,64
1.4149733479700002,36.0,FF-FF,1111011111110111011101111111011100000000000000000000000000000000,64
0.47712125471999994,46.5069933284,FF-FF+F,1111011110111101111001110111101111011110101101111000000000000000000000000000000000000000000000000000,100
0.0,57.35940001149999,FF-FF+FF,111101111011111101111011011101111011111101111011101101111011111101111011000000000000000000000000000000000000000000000000000000000000000000000000,144
0.47712125471999994,39.8631371386,FF-FF-F,1111011101111101110101110111011111011101011101110100000000000000000000000000000000000000000000000000,100
0.0,43.0195500087,FF-FF-FF,111101110111111101110111011101110111111101110111011101110111111101110111000000000000000000000000000000000000000000000000000000000000000000000000,144
1.1461280356799999,46.5069933284,FF-FFF,1111011111111101111101110111111111011111111101111100000000000000000000000000000000000000000000000000,100
0.0,64.529325013,FF-FFF+F,111101111110111101111110011101111110111101111110111101111110101101111110000000000000000000000000000000000000000000000000000000000000000000000000,144
0.0,50.189475010100004,FF-FFF-F,111101111101111101111101011101111101111101111101111101111101011101111101000000000000000000000000000000000000000000000000000000000000000000000000,144
0.301029995664,57.35940001149999,FF-FFFF,111101111111111101111111011101111111111101111111111101111111111101111111000000000000000000000000000000000000000000000000000000000000000000000000,144
0.0,60.9176787529,FF-FFFFF,1111011111111111110111111111011101111111111111011111111111110111111111111101111111111111011111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,196
0.0,59.794705708,FF-FF[F],1111011111111100011111000111011111111100011111111100011111000000000000000000000000000000000000000000,100
0.0,54.0,FF-F[+F],1111011011110001100001110110001011011000000000000000000000000000,64
0.0,54.0,FF-F[-F],1111010111110001010001110101000111010100000000000000000000000000,64
0.0,59.794705708,FF-F[FF],1111011111111100000111110000011101111111110000011111111100000111110000000000000000000000000000000000,100
0.301029995664,48.0,FF-F[F],1111011111110001110001110111111100011100000000000000000000000000,64
0.0,48.0,FF-[F+F],1111011000000111011000000111011011110000011000000000000000000000,64
0.0,36.0,FF-[F-F],1111010100000111010100000111010100000111010100000000000000000000,64
0.0,46.5069933284,FF-[FFF],1111011111000000011101111100000001110111110000000111011111000000011101111100000000000000000000000000,100
0.698970004336,36.0,FF-[FF],1111011100000111011100000111011100000111011100000000000000000000,64
1.3979400086700002,31.019550008699998,FF-[F],111101000111010001110100000000000000,36
0.301029995664,60.0,FF-[F]+F,1111011111110001110001110111111100000000011100000000000000000000,64
0.0,54.0,FF-[F]-F,1111010001111101000101110100010000000111010001000000000000000000,64
2.08278537032,15.509775004300002,FFF,111111111111111111000000000000000000,36
1.4149733479700002,30.0,FFF+F,1111111011111110111111101011111000000000000000000000000000000000,64
0.47712125471999994,39.8631371386,FFF+F+F,1111111010111111101011111110101011111010101111101000000000000000000000000000000000000000000000000000,100
0.0,50.189475010100004,FFF+F+FF,111111101011111111101011111111101011101111101011101111101011111111101011000000000000000000000000000000000000000000000000000000000000000000000000,144
0.47712125471999994,46.5069933284,FFF+F-F,1111111001111111100111111110011011111001011111100100000000000000000000000000000000000000000000000000,100
0.0,57.35940001149999,FFF+F-FF,111111100111111111100111111111100111101111100111011111100111111111100111000000000000000000000000000000000000000000000000000000000000000000000000,144
1.1461280356799999,39.8631371386,FFF+FF,1111111011111111101111111110111011111011111111101100000000000000000000000000000000000000000000000000,100
0.0,43.0195500087,FFF+FF+F,111111101110111111101110111111101110101111101110111111101110101111101110000000000000000000000000000000000000000000000000000000000000000000000000,144
0.0,50.189475010100004,FFF+FF-F,111111101101111111101101111111101101101111101101111111101101011111101101000000000000000000000000000000000000000000000000000000000000000000000000,144
0.301029995664,43.0195500087,FFF+FFF,111111101111111111101111111111101111101111101111111111101111111111101111000000000000000000000000000000000000000000000000000000000000000000000000,144
0.0,53.302968908800004,FFF+FFFF,1111111011111111111110111111111111101111111011111011111111111110111111111111101111111111111011111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,196
0.0,53.1508495182,FFF+F[F],1111111011111111001011111111001011001011111011111111001011000000000000000000000000000000000000000000,100
0.0,46.5069933284,FFF+[FF],1111111011000010111110110000101111101100001011111011000010111110110000000000000000000000000000000000,100
0.698970004336,36.0,FFF+[F],1111111000101111100010111110001011111000000000000000000000000000,64
1.4149733479700002,36.0,FFF-F,1111110111111101111111010111110100000000000000000000000000000000,64
0.47712125471999994,46.5069933284,FFF-F+F,1111110110111111011011111101100111110110101111011000000000000000000000000000000000000000000000000000,100
